nombre,fecha_exif
DSC_0076.JPG,2024:08:31 12:11:42
DSC_0077.JPG,2024:08:31 12:12:15
DSC_0151.JPG,2024:09:14 15:11:07
DSC_0152.JPG,2024:09:14 15:11:31
DSC_0149.JPG,2024:09:14 15:09:45
DSC_0150.JPG,2024:09:14 15:09:56
DSC_0157.JPG,2024:09:14 15:24:33
DSC_0158.JPG,2024:09:14 15:24:53
DSC_0159.JPG,2024:09:14 15:25:12
DSC_0001.JPG,2024:04:27 15:33:46
DSC_0080.JPG,2024:08:10 18:48:22
DSC_0081.JPG,2024:08:10 18:48:32
DSC_0082.JPG,2024:08:10 18:48:49
DSC_0093.JPG,2024:08:10 19:35:08
DSC_0094.JPG,2024:08:10 19:35:25
DSC_0095.JPG,2024:08:10 19:35:30
DSC_0096.JPG,2024:08:10 19:35:36
DSC_0049.JPG,2025:08:14 14:32:21
